Depth,Soil,p1,y1,p2,y2,p3,y3,p4,y4,p5,y5,p6,y6,p7,y7,p8,y8
19.5,sand-silt,27.357742505550398,4.081632653061225,68.39435626387599,4.081632653061225,109.43097002220159,4.081632653061225,136.78871252775198,4.081632653061225,177.8253262860776,4.081632653061225,205.183068791628,4.081632653061225,246.21968254995357,4.081632653061225,273.57742505550397,200
20,sand-silt,28.059223082615798,4.081632653061225,70.14805770653949,4.081632653061225,112.23689233046319,4.081632653061225,140.29611541307898,4.081632653061225,182.38495003700268,4.081632653061225,210.44417311961848,4.081632653061225,252.53300774354216,4.081632653061225,280.59223082615796,200
20.5,sand-silt,28.76070365968119,4.081632653061225,71.90175914920297,4.081632653061225,115.04281463872476,4.081632653061225,143.80351829840595,4.081632653061225,186.94457378792774,4.081632653061225,215.70527744760892,4.081632653061225,258.84633293713074,4.081632653061225,287.6070365968119,200
21,sand-silt,29.462184236746584,4.081632653061225,73.65546059186646,4.081632653061225,117.84873694698634,4.081632653061225,147.31092118373292,4.081632653061225,191.5041975388528,4.081632653061225,220.96638177559936,4.081632653061225,265.15965813071927,4.081632653061225,294.62184236746583,200
21.5,sand-silt,30.163664813811977,4.081632653061225,75.40916203452994,4.081632653061225,120.6546592552479,4.081632653061225,150.81832406905988,4.081632653061225,196.06382128977785,4.081632653061225,226.22748610358983,4.081632653061225,271.4729833243078,4.081632653061225,301.63664813811977,200
22,sand-silt,30.865145390877377,4.081632653061225,77.16286347719344,4.081632653061225,123.4605815635095,4.081632653061225,154.32572695438688,4.081632653061225,200.62344504070296,4.081632653061225,231.48859043158032,4.081632653061225,277.7863085178964,4.081632653061225,308.65145390877376,200
22.5,sand-silt,31.56662596794277,4.081632653061225,78.91656491985692,4.081632653061225,126.26650387177108,4.081632653061225,157.83312983971385,4.081632653061225,205.18306879162802,4.081632653061225,236.7496947595708,4.081632653061225,284.09963371148496,4.081632653061225,315.6662596794277,200
23,sand-silt,32.268106545008166,4.081632653061225,80.67026636252041,4.081632653061225,129.07242618003266,4.081632653061225,161.34053272504082,4.081632653061225,209.74269254255307,4.081632653061225,242.01079908756122,4.081632653061225,290.4129589050735,4.081632653061225,322.68106545008163,200
23.5,sand-silt,32.96958712207356,4.081632653061225,82.4239678051839,4.081632653061225,131.87834848829425,4.081632653061225,164.8479356103678,4.081632653061225,214.30231629347816,4.081632653061225,247.27190341555172,4.081632653061225,296.72628409866206,4.081632653061225,329.6958712207356,200
24,sand-silt,33.67106769913896,4.081632653061225,84.17766924784739,4.081632653061225,134.68427079655584,4.081632653061225,168.35533849569478,4.081632653061225,218.8619400444032,4.081632653061225,252.53300774354216,4.081632653061225,303.0396092922506,4.081632653061225,336.71067699138956,200
24.5,sand-silt,34.37254827620435,4.081632653061225,85.93137069051086,4.081632653061225,137.4901931048174,4.081632653061225,171.86274138102172,4.081632653061225,223.42156379532824,4.081632653061225,257.7941120715326,4.081632653061225,309.3529344858391,4.081632653061225,343.72548276204344,200
25,sand-silt,35.074028853269745,4.081632653061225,87.68507213317436,4.081632653061225,140.29611541307898,4.081632653061225,175.37014426634872,4.081632653061225,227.98118754625335,4.081632653061225,263.0552163995231,4.081632653061225,315.6662596794277,4.081632653061225,350.74028853269743,200
25.5,sand-silt,35.77550943033514,4.081632653061225,89.43877357583784,4.081632653061225,143.10203772134057,4.081632653061225,178.87754715167569,4.081632653061225,232.5408112971784,4.081632653061225,268.3163207275135,4.081632653061225,321.9795848730162,4.081632653061225,357.75509430335137,200
26,sand-silt,36.47699000740053,4.081632653061225,91.19247501850133,4.081632653061225,145.90796002960212,4.081632653061225,182.38495003700265,4.081632653061225,237.10043504810346,4.081632653061225,273.57742505550397,4.081632653061225,328.2929100666048,4.081632653061225,364.7699000740053,200
26.5,sand-silt,37.178470584465934,4.081632653061225,92.94617646116482,4.081632653061225,148.71388233786374,4.081632653061225,185.89235292232965,4.081632653061225,241.66005879902855,4.081632653061225,278.83852938349446,4.081632653061225,334.6062352601934,4.081632653061225,371.7847058446593,200
27,sand-silt,37.879951161531324,4.081632653061225,94.69987790382831,4.081632653061225,151.5198046461253,4.081632653061225,189.39975580765662,4.081632653061225,246.2196825499536,4.081632653061225,284.0996337114849,4.081632653061225,340.9195604537819,4.081632653061225,378.79951161531324,200
27.5,sand-silt,38.58143173859672,4.081632653061225,96.4535793464918,4.081632653061225,154.32572695438688,4.081632653061225,192.9071586929836,4.081632653061225,250.77930630087866,4.081632653061225,289.3607380394754,4.081632653061225,347.23288564737044,4.081632653061225,385.8143173859672,200
28,sand-silt,39.28291231566212,4.081632653061225,98.20728078915528,4.081632653061225,157.13164926264847,4.081632653061225,196.41456157831055,4.081632653061225,255.33893005180374,4.081632653061225,294.62184236746583,4.081632653061225,353.546210840959,4.081632653061225,392.8291231566211,200
28.5,sand-silt,39.98439289272751,4.081632653061225,99.96098223181878,4.081632653061225,159.93757157091005,4.081632653061225,199.92196446363755,4.081632653061225,259.8985538027288,4.081632653061225,299.8829466954563,4.081632653061225,359.8595360345476,4.081632653061225,399.8439289272751,200
29,sand-silt,40.68587346979291,4.081632653061225,101.71468367448226,4.081632653061225,162.74349387917164,4.081632653061225,203.42936734896452,4.081632653061225,264.4581775536539,4.081632653061225,305.14405102344676,4.081632653061225,366.1728612281361,4.081632653061225,406.85873469792904,200
29.5,sand-silt,41.38735404685829,4.081632653061225,103.46838511714573,4.081632653061225,165.54941618743317,4.081632653061225,206.93677023429146,4.081632653061225,269.0178013045789,4.081632653061225,310.4051553514372,4.081632653061225,372.48618642172465,4.081632653061225,413.8735404685829,200
30,sand-silt,42.088834623923695,4.081632653061225,105.22208655980923,4.081632653061225,168.35533849569478,4.081632653061225,210.44417311961845,4.081632653061225,273.577425055504,4.081632653061225,315.6662596794277,4.081632653061225,378.79951161531324,4.081632653061225,420.8883462392369,200
30.5,sand-silt,42.790315200989085,4.081632653061225,106.97578800247271,4.081632653061225,171.16126080395634,4.081632653061225,213.95157600494542,4.081632653061225,278.13704880642905,4.081632653061225,320.92736400741813,4.081632653061225,385.11283680890176,4.081632653061225,427.90315200989085,200
31,sand-silt,43.49179577805448,4.081632653061225,108.7294894451362,4.081632653061225,173.96718311221792,4.081632653061225,217.4589788902724,4.081632653061225,282.69667255735413,4.081632653061225,326.1884683354086,4.081632653061225,391.4261620024903,4.081632653061225,434.9179577805448,200
31.5,sand-silt,44.19327635511988,4.081632653061225,110.4831908877997,4.081632653061225,176.7731054204795,4.081632653061225,220.9663817755994,4.081632653061225,287.2562963082792,4.081632653061225,331.44957266339907,4.081632653061225,397.7394871960789,4.081632653061225,441.9327635511988,200
32,sand-silt,44.894756932185274,4.081632653061225,112.23689233046318,4.081632653061225,179.5790277287411,4.081632653061225,224.47378466092636,4.081632653061225,291.81592005920425,4.081632653061225,336.7106769913895,4.081632653061225,404.05281238966745,4.081632653061225,448.9475693218527,200
32.5,sand-silt,45.59623750925067,4.081632653061225,113.99059377312666,4.081632653061225,182.38495003700268,4.081632653061225,227.98118754625332,4.081632653061225,296.37554381012933,4.081632653061225,341.97178131938,4.081632653061225,410.366137583256,4.081632653061225,455.96237509250665,200
33,sand-silt,46.29771808631607,4.081632653061225,115.74429521579016,4.081632653061225,185.19087234526427,4.081632653061225,231.48859043158032,4.081632653061225,300.9351675610544,4.081632653061225,347.2328856473705,4.081632653061225,416.67946277684456,4.081632653061225,462.97718086316064,200
33.5,sand-silt,46.999198663381456,4.081632653061225,117.49799665845363,4.081632653061225,187.99679465352582,4.081632653061225,234.99599331690726,4.081632653061225,305.49479131197944,4.081632653061225,352.4939899753609,4.081632653061225,422.9927879704331,4.081632653061225,469.9919866338145,200
34,sand-silt,47.70067924044685,4.081632653061225,119.25169810111713,4.081632653061225,190.8027169617874,4.081632653061225,238.50339620223426,4.081632653061225,310.0544150629045,4.081632653061225,357.75509430335137,4.081632653061225,429.30611316402167,4.081632653061225,477.0067924044685,200
34.5,sand-silt,48.40215981751225,4.081632653061225,121.00539954378061,4.081632653061225,193.608639270049,4.081632653061225,242.01079908756122,4.081632653061225,314.6140388138296,4.081632653061225,363.0161986313418,4.081632653061225,435.6194383576102,4.081632653061225,484.02159817512245,200
35,sand-silt,49.103640394577646,4.081632653061225,122.75910098644411,4.081632653061225,196.41456157831058,4.081632653061225,245.51820197288822,4.081632653061225,319.1736625647547,4.081632653061225,368.27730295933236,4.081632653061225,441.93276355119883,4.081632653061225,491.03640394577644,200
35.5,sand-silt,49.805120971643035,4.081632653061225,124.51280242910758,4.081632653061225,199.22048388657214,4.081632653061225,249.02560485821516,4.081632653061225,323.7332863156797,4.081632653061225,373.53840728732274,4.081632653061225,448.2460887447873,4.081632653061225,498.0512097164303,200
36,sand-silt,50.50660154870843,4.081632653061225,126.26650387177108,4.081632653061225,202.02640619483373,4.081632653061225,252.53300774354216,4.081632653061225,328.2929100666048,4.081632653061225,378.79951161531324,4.081632653061225,454.5594139383759,4.081632653061225,505.0660154870843,200
36.5,clay,145.35,4.5,363.375,4.5,581.4,9.959999999999999,726.75,13.950000000000001,944.775,29.099999999999998,1090.125,40.5,1308.15,100.12500000000003,1453.5,1000
37,clay,145.35,4.5,363.375,4.5,581.4,9.959999999999999,726.75,13.950000000000001,944.775,29.099999999999998,1090.125,40.5,1308.15,100.12500000000003,1453.5,1000
37.5,clay,145.35,4.5,363.375,4.5,581.4,9.959999999999999,726.75,13.950000000000001,944.775,29.099999999999998,1090.125,40.5,1308.15,100.12500000000003,1453.5,1000
38,clay,145.35,4.5,363.375,4.5,581.4,9.959999999999999,726.75,13.950000000000001,944.775,29.099999999999998,1090.125,40.5,1308.15,100.12500000000003,1453.5,1000
38.5,clay,145.35,4.5,363.375,4.5,581.4,9.959999999999999,726.75,13.950000000000001,944.775,29.099999999999998,1090.125,40.5,1308.15,100.12500000000003,1453.5,1000
39,clay,145.35,4.5,363.375,4.5,581.4,9.959999999999999,726.75,13.950000000000001,944.775,29.099999999999998,1090.125,40.5,1308.15,100.12500000000003,1453.5,1000
39.5,clay,145.35,4.5,363.375,4.5,581.4,9.959999999999999,726.75,13.950000000000001,944.775,29.099999999999998,1090.125,40.5,1308.15,100.12500000000003,1453.5,1000
40,clay,145.35,4.5,363.375,4.5,581.4,9.959999999999999,726.75,13.950000000000001,944.775,29.099999999999998,1090.125,40.5,1308.15,100.12500000000003,1453.5,1000
